,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Liegenschaftsbezeichnung,Strasse,Hausnummer,PLZ,Ort,Referenznummer / Bezeichnung,Amtliche Wohnungsnummer,Hauptmieter,Mieter 2,Mieter 3,Stockwerk,Zimmer,m2,Baujahr,Sanierungsjahr,"E-mail der Verwaltung zur 
Eskalation/Information 
durch ailean
Wo sendet ailean Mängelmeldungen bei 
der Verwaltung hin? Z.B. Sammelinbox nur für 
ailean, Abteilungsemail oder 
Bewirtschafter*In Pro Liegenschaft nur einmal ausfüllen","Verwaltungskontakt während 
Öffnungszeiten
für Mieter
(Falls Kontakt überhaupt rausgegeben wird, 
wird dieser Kontakt rausgegeben. Pro Liegenschaft nur einmal Ausfüllen)","Eskalationskontakt intern
(Wohin soll ailean eskalieren, wenn der Mieter meldet, dass 
der Mangel nicht behoben ist trotz Eskalation 
an eigene Verwaltung?) In der Regel Teamleitung / Vorgesetzte",Eigentümer,"Fiskaljahr
z.B. 01.-12.","Budget für Mängelbehebung
Ist dieser Betrag erreicht, wird ailean nur noch Offertenanfragen stellen 
oder direkt an Verwaltung eskalieren (je nach Einstellungen)
Formel: Direktaufträge an Handwerker x Kompetenzsumme","Individuelle Schwelle 
kleiner Unterhalt in CHF
(z.B. CHF 150.-)
Pro Liegenschaft nur einmal Ausfüllen"
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46162 / 1-Zi-Whg Nr. 5 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46163 / 1-Zi-Whg Nr. 6 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46164 / 1-Zi-Whg Nr. 7 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46165 / 1-Zi-Whg Nr. 8 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46166 / 1-Zi-Whg Nr. 9 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46167 / 2.5-Zi-Whg Nr. 101 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46168 / 2.5-Zi-Whg Nr. 102 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46169 / 2.5-Zi-Whg Nr. 103 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46170 / 2.5-Zi-Whg Nr. 104 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46171 / 1-Zi-Whg Nr. 14 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
