Property,Coverage %,Total Categories,Covered Categories,Missing Category
"Badenerstr. 727 8048",100.0,15,15,Full Coverage
"Badenerstr. 731 8048",100.0,15,15,Full Coverage
"Badenerstr. 733 8048",100.0,15,15,Full Coverage
"Im Struppen 11 8048",100.0,15,15,Full Coverage
"Im Struppen 12 8048",100.0,15,15,Full Coverage
"Im Struppen 13 8048",100.0,15,15,Full Coverage
"Im Struppen 14 8048",100.0,15,15,Full Coverage
"Im Struppen 15 8048",100.0,15,15,Full Coverage
"Im Struppen 16 8048",100.0,15,15,Full Coverage
"Im Struppen 17 8048",100.0,15,15,Full Coverage
"Im Struppen 19 8048",100.0,15,15,Full Coverage
"Im Struppen 21 8048",100.0,15,15,Full Coverage
"Badenerstr. 717 8048",100.0,15,15,Full Coverage
"Im Struppen 8 8048",100.0,15,15,Full Coverage
"Meierwiesenstr. 52 8064",100.0,15,15,Full Coverage
"Meierwiesenstr. 54 8064",100.0,15,15,Full Coverage
"Meierwiesenstrasse 56 8064",100.0,15,15,Full Coverage
"Meierwiesenstrasse 58 8064",100.0,15,15,Full Coverage
"Baslerstr. 138 8048",100.0,15,15,Full Coverage
"Baslerstr. 140 8048",100.0,15,15,Full Coverage
"Bristenstr. 19 8048",100.0,15,15,Full Coverage
"Bristenstr. 21 8048",100.0,15,15,Full Coverage
"Saumackerstr. 20 8048",100.0,15,15,Full Coverage
"Saumackerstr. 22 8048",100.0,15,15,Full Coverage
"Saumackerstr. 24 8048",100.0,15,15,Full Coverage
"Letzigraben 235 8047",100.0,15,15,Full Coverage
"Letzigraben 237 8047",100.0,15,15,Full Coverage
"Letzigraben 245 8047",100.0,15,15,Full Coverage
"Letzigraben 241 8047",100.0,15,15,Full Coverage
"Wydäckerring 40 8047",100.0,15,15,Full Coverage
"Wydäckerring 48 8047",100.0,15,15,Full Coverage
"Wydäckerring 42 8047",100.0,15,15,Full Coverage
"Wydäckerring 50 8047",100.0,15,15,Full Coverage
"Wydäckerring 66 8047",100.0,15,15,Full Coverage
"Wydäckerring 140 8047",100.0,15,15,Full Coverage
"Baslerstrasse 127 8048",100.0,15,15,Full Coverage
"Baslerstrasse 129 8048",100.0,15,15,Full Coverage
"Baslerstrasse 131 8048",100.0,15,15,Full Coverage
"Baslerstrasse 133 8048",100.0,15,15,Full Coverage
"Calandastrasse 16 8048",100.0,15,15,Full Coverage
"Calandastrasse 18 8048",100.0,15,15,Full Coverage
"Eisenbahnerstrasse 18 8048",100.0,15,15,Full Coverage
"Eisenbahnerstrasse 22 8048",100.0,15,15,Full Coverage
"Saumackerstrasse 21 8048",100.0,15,15,Full Coverage
"Saumackerstrasse 23 8048",100.0,15,15,Full Coverage
"Saumackerstrasse 25 8048",100.0,15,15,Full Coverage
"Langackerstrasse 2 8952",100.0,15,15,Full Coverage
"Langackerstrasse 4 8952",100.0,15,15,Full Coverage
"Langackerstrasse 6 8952",100.0,15,15,Full Coverage
"Löwenweg 1 8912",100.0,15,15,Full Coverage
"Löwenweg 3 8912",100.0,15,15,Full Coverage
"Löwenweg 5 8912",100.0,15,15,Full Coverage
"Löwenweg 9 8912",100.0,15,15,Full Coverage
"Löwenweg 11 8912",100.0,15,15,Full Coverage
"Löwenweg 13 8912",100.0,15,15,Full Coverage
"Albisriederstr. 261 8047",100.0,15,15,Full Coverage
"Albisriederstr. 263 8047",100.0,15,15,Full Coverage
"Albisriederstr. 265 8047",100.0,15,15,Full Coverage
"Mühlezelgstr. 56 8047",100.0,15,15,Full Coverage
"Alte Landstr. 37 8802",100.0,15,15,Full Coverage
"Alte Landstr. 37A 8802",100.0,15,15,Full Coverage
"Alte Landstr. 37B 8802",100.0,15,15,Full Coverage
"Claridenstr. 19 8802",100.0,15,15,Full Coverage
"Claridenstr. 21 8802",100.0,15,15,Full Coverage
"Claridenstr. 13 8802",100.0,15,15,Full Coverage
"Claridenstr. 15 8802",100.0,15,15,Full Coverage
"Claridenstr. 17 8802",100.0,15,15,Full Coverage
"Badenerstr. 825 8048",100.0,15,15,Full Coverage
"Badenerstr. 827 8048",100.0,15,15,Full Coverage
"Badenerstr. 829 8048",100.0,15,15,Full Coverage
"Badenerstr. 831 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 19 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 35 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 37 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 31 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 33 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 25 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 27 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 23 8048",100.0,15,15,Full Coverage
"Buckhauserstr. 29 8048",100.0,15,15,Full Coverage
"Frankengasse 25 8001",100.0,15,15,Full Coverage
"Franklinstrasse 3 8050",100.0,15,15,Full Coverage
"Friedhofstrasse 45 8048",100.0,15,15,Full Coverage
